id,location,time_stamp,temp_c,humidity,cond,wind_kph,pressure_mb,wind_mps
2011,Kristiansand,2026-02-09 13:19:00,-2.7,80,Partly cloudy,16.6,1015.0,4.611111111111112
2010,Kristiansand,2026-02-09 11:53:00,-3.0,80,Partly cloudy,15.8,1015.0,4.388888888888889
2009,Kristiansand,2026-02-09 11:38:00,-2.7,80,Partly cloudy,15.8,1015.0,4.388888888888889
2008,Kristiansand,2026-02-09 08:53:00,-4.0,86,Partly cloudy,14.8,1016.0,4.111111111111112
2007,Kristiansand,2026-02-09 08:24:00,-3.8,86,Partly cloudy,14.8,1016.0,4.111111111111112
2006,Kristiansand,2026-02-09 07:53:00,-4.0,86,Overcast,16.2,1016.0,4.5
2005,Kristiansand,2026-02-09 06:52:00,-3.8,86,Overcast,15.8,1016.0,4.388888888888889
2004,Kristiansand,2026-02-09 05:53:00,-3.7,80,Overcast,16.2,1017.0,4.5
2003,Kristiansand,2026-02-09 04:52:00,-3.6,80,Overcast,16.6,1017.0,4.611111111111112
2002,Kristiansand,2026-02-09 03:53:00,-3.7,80,Overcast,16.6,1018.0,4.611111111111112
2001,Kristiansand,2026-02-09 02:53:00,-3.7,80,Overcast,16.9,1018.0,4.694444444444444
2000,Kristiansand,2026-02-09 01:53:00,-3.8,80,Overcast,17.6,1019.0,4.888888888888889
1999,Kristiansand,2026-02-09 00:53:00,-3.8,80,Light snow,17.6,1019.0,4.888888888888889
1998,Kristiansand,2026-02-08 23:52:00,-3.9,80,Overcast,18.7,1019.0,5.194444444444444
1997,Kristiansand,2026-02-08 22:53:00,-3.8,80,Overcast,19.8,1020.0,5.5
1996,Kristiansand,2026-02-08 21:52:00,-3.8,80,Overcast,19.8,1020.0,5.5
1995,Kristiansand,2026-02-08 20:52:00,-3.8,80,Overcast,21.2,1020.0,5.888888888888888
1994,Kristiansand,2026-02-08 19:52:00,-3.9,80,Overcast,22.7,1020.0,6.305555555555555
1993,Kristiansand,2026-02-08 18:53:00,-3.8,74,Partly cloudy,23.8,1020.0,6.611111111111111
1992,Kristiansand,2026-02-08 17:52:00,-3.9,74,Overcast,25.2,1020.0,7.0
1991,Kristiansand,2026-02-08 16:53:00,-3.7,80,Partly cloudy,25.9,1020.0,7.194444444444444
1990,Kristiansand,2026-02-08 15:53:00,-3.7,74,Partly cloudy,26.6,1021.0,7.388888888888889
