id,location,time_stamp,temp_c,humidity,cond,wind_kph,pressure_mb,year,month,day,hour
14,Kristiansand,2025-08-10 22:54:00,15.1,67,Overcast,18.4,1023.0,2025,8,10,22
18,Kristiansand,2025-08-10 23:53:00,14.3,72,Clear,17.6,1024.0,2025,8,10,23
19,Kristiansand,2025-08-11 04:50:00,13.3,77,Overcast,20.5,1023.0,2025,8,11,4
20,Kristiansand,2025-08-11 05:39:00,13.3,77,Cloudy,19.8,1023.0,2025,8,11,5
21,Kristiansand,2025-08-11 05:54:00,13.1,77,Cloudy,19.8,1023.0,2025,8,11,5
22,Kristiansand,2025-08-11 06:53:00,13.0,77,Partly Cloudy,19.8,1023.0,2025,8,11,6
23,Kristiansand,2025-08-11 07:54:00,12.1,88,Partly Cloudy,18.4,1023.0,2025,8,11,7
24,Kristiansand,2025-08-11 08:51:00,13.1,82,Cloudy,18.7,1022.0,2025,8,11,8
25,Kristiansand,2025-08-11 12:28:00,15.3,82,Light rain,20.9,1021.0,2025,8,11,12
26,Kristiansand,2025-08-11 12:53:00,15.1,82,Partly cloudy,20.9,1021.0,2025,8,11,12
27,Kristiansand,2025-08-11 13:54:00,15.3,88,Moderate rain,19.8,1021.0,2025,8,11,13
28,Kristiansand,2025-08-11 14:53:00,15.3,94,Moderate rain,21.2,1020.0,2025,8,11,14
29,Kristiansand,2025-08-11 15:51:00,16.1,94,Light rain,23.4,1020.0,2025,8,11,15
30,Kristiansand,2025-08-11 20:01:00,17.2,83,Partly cloudy,17.6,1018.0,2025,8,11,20
31,Kristiansand,2025-08-11 20:51:00,17.1,83,Partly cloudy,17.6,1018.0,2025,8,11,20
32,Kristiansand,2025-08-11 21:54:00,16.2,88,Partly cloudy,18.4,1018.0,2025,8,11,21
33,Kristiansand,2025-08-12 07:06:00,10.1,94,Sunny,11.2,1019.0,2025,8,12,7
34,Kristiansand,2025-08-12 08:52:00,15.0,72,Sunny,9.7,1019.0,2025,8,12,8
35,Kristiansand,2025-08-12 11:33:00,18.0,56,Sunny,6.5,1019.0,2025,8,12,11
36,Kristiansand,2025-08-12 11:53:00,18.1,56,Sunny,6.5,1020.0,2025,8,12,11
37,Kristiansand,2025-08-12 12:53:00,18.2,64,Sunny,10.4,1020.0,2025,8,12,12
38,Kristiansand,2025-08-12 13:55:00,19.2,60,Sunny,14.0,1020.0,2025,8,12,13
39,Kristiansand,2025-08-12 14:55:00,18.3,68,Sunny,16.2,1019.0,2025,8,12,14
40,Kristiansand,2025-08-12 15:55:00,20.1,64,Sunny,19.8,1019.0,2025,8,12,15
41,Kristiansand,2025-08-12 16:53:00,20.3,68,Sunny,20.2,1019.0,2025,8,12,16
42,Kristiansand,2025-08-12 17:53:00,20.0,64,Partly Cloudy,19.4,1018.0,2025,8,12,17
43,Kristiansand,2025-08-12 18:55:00,19.2,68,Partly Cloudy,19.1,1018.0,2025,8,12,18
44,Kristiansand,2025-08-12 19:50:00,19.0,73,Partly Cloudy,16.2,1018.0,2025,8,12,19
45,Kristiansand,2025-08-12 20:50:00,17.4,83,Partly Cloudy,14.0,1019.0,2025,8,12,20
46,Kristiansand,2025-08-12 21:53:00,16.2,88,Partly Cloudy,11.5,1019.0,2025,8,12,21
47,Kristiansand,2025-08-13 00:54:00,16.2,82,Partly Cloudy,7.6,1019.0,2025,8,13,0
48,Kristiansand,2025-08-13 11:01:00,19.2,73,Sunny,9.7,1020.0,2025,8,13,11
49,Kristiansand,2025-08-13 11:55:00,20.0,68,Sunny,9.7,1020.0,2025,8,13,11
50,Kristiansand,2025-08-13 12:50:00,21.1,69,Sunny,11.9,1020.0,2025,8,13,12
51,Kristiansand,2025-08-13 13:56:00,22.1,69,Sunny,12.2,1020.0,2025,8,13,13
52,Kristiansand,2025-08-13 14:50:00,22.3,69,Sunny,11.9,1020.0,2025,8,13,14
53,Kristiansand,2025-08-13 15:50:00,22.0,65,Sunny,12.2,1020.0,2025,8,13,15
54,Kristiansand,2025-08-13 16:53:00,22.1,69,Sunny,8.3,1020.0,2025,8,13,16
